state2,state,race,lf7,lf13,punemp1,punemp4,punemp7,punemp13
Hawaii,Hawaii,103,,60,3.7,4.5,,4.1
Hawaii,Hawaii,97,,62,3,3.4,,4.3
Hawaii,Hawaii,83,,65,2.4,2,,3.1
Idaho,Idaho,11,,62,8.5,8.4,,10.6
Idaho,Idaho,11,9,70,9,8.9,8,13.5
Idaho,Idaho,17,,87,8.699999999999999,8.699999999999999,,12
Idaho,Idaho,10,,98,7.1,7,,7.1
Idaho,Idaho,8,,91,6.5,6.1,,9.4
Idaho,Idaho,5,,94,4.7,4.6,,8.1
Idaho,Idaho,9,,102,4.3,4.2,,5.9
Idaho,Idaho,8,,112,3.9,3.8,,4.7
Idaho,Idaho,10,,103,3.2,3.2,,4.9
Illinois,Illinois,2148,833,858,10,9,17.1,11.6
Illinois,Illinois,1985,816,880,10.2,9.1,17.8,12.7
Illinois,Illinois,1997,798,865,9.699999999999999,8.4,19.4,12.1
Illinois,Illinois,1826,839,892,8.699999999999999,7.7,16,10.2
Illinois,Illinois,1855,829,944,9.1,7.9,17,11.1
Illinois,Illinois,1756,837,932,7,5.9,14.4,8.1
Illinois,Illinois,1822,845,981,5.9,5,12.2,7.2
Illinois,Illinois,2255,825,1028,5.9,5,12.7,6.7
Illinois,Illinois,1663,799,1055,4.9,4.3,8.9,4.9
Indiana,Indiana,1029,223,163,10,9.300000000000001,19.2,17.3
Indiana,Indiana,1058,238,154,10.6,9.800000000000001,19.8,15.3
Indiana,Indiana,961,231,136,9,8.300000000000001,15.3,11.8
Indiana,Indiana,997,252,150,8.300000000000001,7.3,19.8,9.4
Indiana,Indiana,1010,261,174,7.7,6.8,17.3,6.9
Indiana,Indiana,905,253,213,6.1,5.5,12.8,8.6
Indiana,Indiana,823,282,260,4.8,4.5,7,5.6
Indiana,Indiana,810,288,222,4.5,4.1,8.9,4.6
Indiana,Indiana,793,292,213,3.6,3.2,7.9,4.4
Iowa,Iowa,40,38,77,6.3,5.9,19.6,9.4
Iowa,Iowa,50,39,81,6.1,5.8,13.2,10.8
Iowa,Iowa,56,40,85,5.8,5.4,15.7,11.7
Iowa,Iowa,66,43,85,5.1,4.8,15.8,9.1
Iowa,Iowa,37,41,88,4.7,4.5,11.5,7.7
Iowa,Iowa,52,45,77,4.6,4.4,14.1,8.5
Iowa,Iowa,35,,80,3.6,3.2,,4.5
Iowa,Iowa,60,,106,3.9,3.6,,5.3
Iowa,Iowa,42,,107,3.2,3,,7.3
Kansas,Kansas,279,82,109,6.8,6.3,13.2,11.8
Kansas,Kansas,260,78,91,7.4,6.9,13.2,13
Kansas,Kansas,303,82,106,6.7,6,14,10.5
Kansas,Kansas,277,73,118,5.6,5,14,6.9
Kansas,Kansas,329,78,120,5.6,5.2,11.8,8.1
Kansas,Kansas,233,79,145,4.6,4.2,7.6,5.5
Kansas,Kansas,229,89,166,4.3,4.1,6.6,4.5
Kansas,Kansas,215,86,180,4.2,3.7,10.4,6.5
Kansas,Kansas,198,78,187,3.6,2.9,11.7,3.9
Kentucky,Kentucky,392,154,64,10.6,10.1,16.5,9.6
Kentucky,Kentucky,425,148,79,10.3,9.699999999999999,19.6,14.2
Kentucky,Kentucky,355,138,69,9.5,9.1,17.4,13.4
Kentucky,Kentucky,335,158,71,8,7.6,13.5,7.6
Kentucky,Kentucky,345,168,75,8.1,7.6,13.2,10.8
Kentucky,Kentucky,386,170,66,6.5,6.2,9.6,7.6
Kentucky,Kentucky,332,149,72,5.4,4.9,11.2,9.699999999999999
Kentucky,Kentucky,323,160,65,4.9,4.8,6.9,7.9
Kentucky,Kentucky,328,175,66,5.2,4.8,8.300000000000001,5.6
Louisiana,Louisiana,949,582,76,7.1,5.9,10.4,7.3
Louisiana,Louisiana,999,585,74,7.8,6.2,12.2,8.1
Louisiana,Louisiana,1050,591,81,7.8,5.7,13,12.2
Louisiana,Louisiana,868,602,99,7.1,4.8,12.2,8.5
Louisiana,Louisiana,907,590,101,7,4.9,12.2,12.5
Louisiana,Louisiana,846,619,124,6.4,4.6,10.3,8.5
Louisiana,Louisiana,814,633,117,6.2,4.8,9.699999999999999,7.6
Louisiana,Louisiana,746,641,100,6.2,4.3,10.5,3.8
Louisiana,Louisiana,684,627,127,5.1,3.4,8.9,3.4
Maine,Maine,2,,7,8.1,7.8,,6.5
Maine,Maine,6,7,6,8.199999999999999,8,21.4,12.5
Maine,Maine,3,8,,8,7.6,15.7,
Maine,Maine,7,7,8,7.7,7.4,20.7,13.6
Maine,Maine,6,7,,6.8,6.6,15.6,
Maine,Maine,4,8,,5.7,5.5,10.7,
Maine,Maine,7,,,4.4,4.2,,
Maine,Maine,6,,,3.9,3.9,,
Maine,Maine,5,,,3.3,3.1,,
Maryland,Maryland,744,867,257,7.1,6.1,9.300000000000001,7.6
Maryland,Maryland,1234,875,254,7.7,6.2,11.3,8.800000000000001
Maryland,Maryland,917,879,251,7,5.7,10.3,7
Maryland,Maryland,976,923,291,7,5.6,10.2,6.7
