state2,state,race,lf7,lf13,punemp1,punemp4,punemp7,punemp13
West Virginia,West Virginia,29,31,,7.4,7.4,7.7,
West Virginia,West Virginia,41,26,,6.6,6.7,6.7,
West Virginia,West Virginia,19,25,12,6.6,6.4,9.9,3.7
West Virginia,West Virginia,28,28,,6.9,6.8,10.6,
West Virginia,West Virginia,33,25,,6.1,6,6.5,
West Virginia,West Virginia,30,28,,5.2,5.1,6.7,
Wisconsin,Wisconsin,385,148,157,8.4,7.3,23.8,15.7
Wisconsin,Wisconsin,363,154,147,8.699999999999999,7.6,25,9.9
Wisconsin,Wisconsin,403,148,155,7.8,6.5,25,12.2
Wisconsin,Wisconsin,382,153,166,7.1,6.1,18.7,11.4
Wisconsin,Wisconsin,348,157,162,6.7,5.8,15,14.5
Wisconsin,Wisconsin,374,160,146,5.6,4.4,20.8,8.9
Wisconsin,Wisconsin,330,171,200,4.6,4.1,11.1,6.7
Wisconsin,Wisconsin,399,167,222,4.1,3.8,10.6,3.3
Wisconsin,Wisconsin,357,163,188,3.2,2.8,9.1,5.3
Wyoming,Wyoming,8,,20,6.5,6.3,,10.8
Wyoming,Wyoming,1,3,19,6.6,6.5,6.2,10.9
Wyoming,Wyoming,9,,22,5.9,5.5,,8.1
Wyoming,Wyoming,14,,25,5.5,5,,9
Wyoming,Wyoming,15,5,25,4.6,4.4,14.4,5.4
Wyoming,Wyoming,14,5,25,4.4,4.1,7.7,3.9
Wyoming,Wyoming,9,,25,4.1,3.9,,4.8
Wyoming,Wyoming,6,,25,5.4,5.2,,6.9
Wyoming,Wyoming,5,,28,4.3,3.9,,6.7
