state,race,lf1,lf4,lf7,lf13,punemp1,punemp4,punemp7,punemp13,WHM1,WHM2,WHM3,WHM4,WHM5,WHM6,WHM7,WHM8,WHM9,WHM1_2,WHF1,WHF2,WHF3,WHF4,WHF5,WHF6,WHF7,WHF8,WHF9,WHF1_2,BLKM1,BLKM2,BLKM3,BLKM4,BLKM5,BLKM6,BLKM7,BLKM8,BLKM9,BLKM1_2,BLKF1,BLKF2,BLKF3,BLKF4,BLKF5,BLKF6,BLKF7,BLKF8,BLKF9,BLKF1_2,HISPM1,HISPM2,HISPM3,HISPM4,HISPM5,HISPM6,HISPM7,HISPM8,HISPM9,HISPM1_2,HISPF1,HISPF2,HISPF3,HISPF4,HISPF5,HISPF6,HISPF7,HISPF8,HISPF9,HISPF1_2
Alaska,25,363,244,14,28,6.7,5.2,4.6,5.1,990,7211,3239,2771,1763,8784,4489,2996,3692,3788,476,6618,1537,2957,4682,283,745,646,5316,2068,16,279,210,247,310,278,642,913,769,144,19,338,105,270,519,7,165,117,808,135,26,296,176,230,222,490,931,1747,611,155,17,240,113,333,443,32,203,599,906,100
Alaska,33,359,243,15,25,6.6,5,6.1,4.4,774,6760,3006,2869,1762,8058,4298,3045,3794,3671,431,6568,1573,2878,4298,260,721,864,5428,2030,16,198,152,239,212,166,443,1120,732,122,9,231,96,272,318,8,75,79,760,99,24,247,187,264,216,464,829,1819,896,156,15,260,94,332,427,33,198,681,962,115
Alaska,28,366,244,12,21,7.7,5,12.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,536,3152,2789,117,904,10,9.300000000000001,19.8,12.7,6678,60039,19871,38008,26889,24273,25039,12873,30351,36005,2984,62034,14746,39825,67287,1633,6137,4471,39170,22790,110,2746,1492,2776,4387,1076,3258,1999,4690,1509,75,3426,1269,2369,8107,102,911,799,4913,1190,386,6995,5392,11123,10900,16203,19126,21145,21055,6233,224,8364,4289,14790,25664,818,6947,7288,25981,3621
Arizona,563,3180,2824,121,931,10.4,9.9,10.2,13.4,6721,60590,20310,37945,26720,24096,24743,11938,31876,35498,2915,62276,15079,39032,64961,1559,6216,3486,39554,23172,124,2710,1639,2682,4287,1044,3141,1854,5531,1496,99,3338,1340,2437,8122,87,881,593,5462,1187,447,7159,5631,10898,10352,14658,18094,20079,24089,6177,247,8523,4926,14176,25322,902,6541,6704,26844,3752
Arizona,613,3021,2655,127,863,9.5,9.199999999999999,15.2,12.7,6972,61773,19922,39958,27572,24523,25342,12376,35139,37346,3049,64292,14412,39437,65582,1587,5825,3353,44253,24769,121,2892,1643,2834,4666,1196,3282,2115,6790,1561,73,3563,1326,2583,8576,108,881,645,6457,1253,461,7531,5636,11768,11028,14045,18707,20665,25060,6405,236,9020,4559,15162,26082,833,6613,6429,29502,3996
Arizona,615,3018,2618,139,897,8.199999999999999,8.1,9.199999999999999,10.6,7236,63469,20864,38439,28111,24698,25979,12611,36166,36733,3076,66821,15066,38164,64036,1581,6055,3809,48586,23978,125,3056,1917,3018,4398,1303,3646,2239,6523,1652,80,3921,1651,2729,8144,127,916,698,7075,1248,478,7975,6107,11753,11472,15131,19087,20565,23551,6562,229,9841,4908,15065,26573,1057,6618,7074,29603,4090
Arizona,600,3012,2582,138,929,8,7.2,15.3,9.4,7574,64445,20181,38275,29790,26076,25661,14259,34370,36799,3136,67765,14655,37559,65401,1357,5873,4037,45395,24086,124,3134,1701,3189,4892,1388,3612,2764,6163,1709,86,4030,1500,2803,8793,135,945,876,6966,1260,481,8297,6170,12500,13437,16401,19294,22901,22002,6788,270,10563,4986,16044,29563,879,6713,7399,29753,4276
Arizona,560,3105,2634,142,1062,7,6.4,5.6,8.300000000000001,7748,64685,19997,38063,30905,24353,26018,13628,34979,37436,3246,69470,14293,37028,66283,1341,6023,3967,45847,24829,127,3404,1812,3212,5515,1372,3761,2715,6586,1772,97,4386,1569,2910,9754,125,1049,821,7664,1354,516,8694,6408,13146,14464,15762,20291,23049,23306,7157,253,11338,4999,16671,31437,1249,6806,8048,31689,4705
Arizona,560,3166,2693,158,1197,6,5.7,9.1,8.300000000000001,7970,66061,19604,39743,32531,23638,25509,14870,35360,37930,3428,71741,14561,37616,69656,1324,5860,4256,45493,25976,125,3640,1791,3516,6064,1338,3865,3642,6590,1903,98,4856,1550,3341,11383,130,1195,1079,7631,1510,505,9486,6372,13847,15863,16544,20409,23868,23495,7608,314,12504,5236,17140,34934,1313,7446,8755,33196,5065
